subject_id,precision,recall,f1,accuracy,roc_auc
SBJ_01,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_05,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_09,1.0,1.0,1.0,1.0,1.0
SBJ_14,1.0,1.0,1.0,1.0,0.9166666666666667
SBJ_15,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_19,1.0,1.0,1.0,1.0,0.9166666666666667
SBJ_20,1.0,1.0,1.0,1.0,1.0
SBJ_21,1.0,1.0,1.0,1.0,0.9166666666666667
SBJ_22,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_25,1.0,1.0,1.0,1.0,0.9166666666666667
SBJ_27,1.0,1.0,1.0,1.0,1.0
SBJ_28,0.3333333333333333,0.5,0.375,0.5,0.75
SBJ_31,0.625,0.75,0.6666666666666666,0.75,0.9166666666666667
SBJ_33,0.25,0.25,0.25,0.25,0.5
SBJ_37,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_39,0.25,0.5,0.3333333333333333,0.5,0.9166666666666667
SBJ_41,1.0,1.0,1.0,1.0,1.0
SBJ_42,0.625,0.75,0.6666666666666666,0.75,0.9166666666666667
SBJ_43,0.625,0.75,0.6666666666666666,0.75,0.9166666666666667
SBJ_45,0.625,0.75,0.6666666666666666,0.75,1.0
SBJ_47,0.08333333333333333,0.25,0.125,0.25,0.5833333333333334
SBJ_49,0.625,0.75,0.6666666666666666,0.75,0.9166666666666667
SBJ_55,0.08333333333333333,0.25,0.125,0.25,0.8333333333333334
